field1,field2,field3,field4,field5,_CLEANADDR,FID_국토교통부_전국버스정류장위치정보_20231016_XYTableToPoint,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
코레일,1호선,역곡,경기도 부천시 원미곡 역곡동 382,경기도 부천시 역곡로 1,경기도 부천시 원미구 역곡로 1 (역곡동),73484,GGB210000416,역곡역북부,37.4856333,126.8116,2023-10-16,11406,31050,경기도 부천시,경기
코레일,1호선,부천,경기도 부천시 소사구 심곡본동 316-2,경기도 부천시 부천로 1,경기도 부천시 원미구 부천로 1-1 (심곡동),98922,GGB277102360,북부역사거리(경유),37.4859333,126.7834167,2023-10-16,0,31050,경기도 부천시,경기
코레일,1호선,중동,경기도 부천시 송내동 632번지,경기도 부천시 소사구 중동로 73,경기도 부천시 소사구 중동로 73 (송내동),73537,GGB210000547,중동역.신한은행(마을),37.4877333,126.7648833,2023-10-16,11562,31050,경기도 부천시,경기
코레일,1호선,송내,경기도 부천시 소사구 송내동 632-4,경기도 부천시 소사구 송내대로 43,경기도 부천시 소사구 송내대로 43 (송내동),73781,GGB210000570,송내역C,37.4878333,126.7533333,2023-10-16,11557,31050,경기도 부천시,경기
코레일,1호선,부개,인천광역시 부평구 부개동 468,인천광역시 부평구 수변로 22,인천광역시 부평구 수변로 22 (부개동),58370,GGB166000256,부개역,37.48915,126.7398833,2023-10-16,40256,23,인천광역시,경기
코레일,1호선,부평,인천광역시 부평구 부평동 738-21,인천광역시 부평구 광장로 16,인천광역시 부평구 광장로 16 (부평동),58347,GGB166000209,부평역,37.49115,126.72505,2023-10-16,40209,23,인천광역시,경기
코레일,1호선,온수,서울시 구로구 온수동51-7,서울시 구로구 부일로 872,서울특별시 구로구 부일로 872 (온수동),63778,GGB116000459,온수남부역,37.4920333,126.8238333,2023-10-16,17989,11,서울특별시,경기
코레일,1호선,개봉,서울특별시 구로구 개보동 415,서울특별시 구로구 경인로40길 47,서울특별시 구로구 경인로40길 47 (개봉동),64806,GGB116900281,개봉역.림괄아파트,37.4938,126.8587333,2023-10-16,17504,11,서울특별시,경기
코레일,1호선,구일,서울시 구로구 구로1동 642-7,서울시 구로구 구일로 133,서울특별시 구로구 구일로 133 (구로동),73316,GGB213000236,철산리버빌아파트.구일역,37.4944167,126.86865,2023-10-16,14483,31060,경기도 광명시,경기
코레일,1호선,오류동,서울시 구로구 오류동 66,서울시 구로구 경인로 20길 13,서울특별시 구로구 경인로20길 13 (오류동),62743,GGB116000085,오류동역,37.4956667,126.8433667,2023-10-16,17171,11,서울특별시,경기
코레일,1호선,구로,서울특별시 구로구 구로동 585-3,서울특별시 구로구 구로중앙로 174,서울특별시 구로구 구로중앙로 174 (구로동),62730,GGB116000059,구로역.AK플라자,37.5005833,126.8829167,2023-10-16,17145,11,서울특별시,경기
코레일,1호선,신도림,서울시 구로구 신도림동 460-26,서울특별시 구로구 새말로 117-21,서울특별시 구로구 새말로 117-21 (신도림동),64496,GGB116000001,신도림역(중),37.5096667,126.8892333,2023-10-16,17001,11,서울특별시,경기
코레일,1호선,대방,서울특별시 영등포구 신길동 1368-3,서울특별시 영등포구 여의대방로 300,서울특별시 영등포구 여의대방로 300 (신길동),55430,GGB118000525,대방역,37.5130333,126.9241333,2023-10-16,19430,11,서울특별시,경기
코레일,1호선,노량진,서울특별시 동작구 노량진동 67-2,서울특별시 동작구 노량진로 151,서울특별시 동작구 노량진로 151 (노량진동),59776,GGB119000025,노량진역,37.5139,126.9435,2023-10-16,20115,11,서울특별시,경기
코레일,1호선,영등포,서울특별시 영등포구 영등포동 618-496,서울특별시 영등포구 경인로 846,서울특별시 영등포구 경인로 846 (영등포동),59740,GGB118000005,영등포역(중),37.5160167,126.9056333,2023-10-16,19005,11,서울특별시,경기
코레일,1호선,신길,서울특별시 영등포구 신길동 41-1,서울특별시 영등포구 영등포로 327,서울특별시 영등포구 영등포로 327 (신길동),55365,GGB118000140,신길역,37.5167833,126.91705,2023-10-16,19225,11,서울특별시,경기
코레일,1호선,용산,서울 용산구 한강로3가 40-999,서울 용산구 한강대로23길 55,서울특별시 용산구 한강대로23길 55 (한강로3가),65029,GGB102000161,용산역,37.52895,126.96575,2023-10-16,3255,11,서울특별시,경기
코레일,1호선,남영,서울특별시 용산구 갈월동 96-1,서울특별시 용산구 한강대로77길 25,서울특별시 용산구 한강대로77길 25 (갈월동),64980,GGB102000036,남영역,37.5409,126.9710167,2023-10-16,3130,11,서울특별시,경기
